General,number_of_battles,WAR,aWAR
"Louis, Count of Vendôme",1,-1.0459015849097875,-1.0459015849097875
"Louis, Duke of Burgundy",1,-1.0215321605408314,-1.0215321605408314
"Louis, Grand Condé",5,2.6130168902863993,0.5226033780572799
"Louis, Prince of Condé (1530–1569)",3,-3.0997945399995213,-1.033264846666507
Louis-Alexandre Berthier,1,-1.094128345563117,-1.094128345563117
Louis-François de Boufflers,3,-1.161068711537047,-0.38702290384568233
Louis-Hector de Callière,1,0.9513291623210129,0.9513291623210129
Louis-Joseph de Montcalm,6,3.707880028116848,0.6179800046861413
Louis-Jules Trochu,1,-1.019949730387003,-1.019949730387003
Louis-Nicolas Davout,5,0.7404259025283246,0.14808518050566494
Lovell Rousseau,1,0.9490346385979619,0.9490346385979619
Lovick Friend,1,0.9569467893671034,0.9569467893671034
Loyd Wheaton,1,0.9515662103580564,0.9515662103580564
Lt Colonel Sean D Wester (USMC),1,0.9513133380194747,0.9513133380194747
Lt. Col. John Robinson,1,0.9503132421622552,0.9503132421622552
Lt. Gen,1,0.9515662103580564,0.9515662103580564
Lu Xun (Three Kingdoms),2,1.8778141712269214,0.9389070856134607
Luan Zhi,1,0.9515662103580564,0.9515662103580564
"Luc Urbain de Bouëxic, comte de Guichen",3,-1.1346568144015414,-0.37821893813384716
Lucas Balderas,1,-1.0471675290328502,-1.0471675290328502
Luchino Visconti (died 1349),1,0.951566843330118,0.951566843330118
Lucian Truscott,1,0.7690069402594377,0.7690069402594377
Lucius Aemilius Papus,2,-0.17381785214853607,-0.08690892607426803
Lucius Aemilius Paullus (consul 219 BC),1,-0.9581705110536721,-0.9581705110536721
Lucius Aemilius Paullus Macedonicus,1,0.9025579678953106,0.9025579678953106
Lucius Aemilius Regillus,1,0.9396284292698391,0.9396284292698391
Lucius Afranius (consul),1,-1.0326091716176298,-1.0326091716176298
Lucius Antonius (brother of Mark Antony),1,-1.033242143679161,-1.033242143679161
Lucius Arruntius the Elder,1,0.9095951670359008,0.9095951670359008
Lucius Caecilius Metellus (consul 251 BC),1,0.9325773649981475,0.9325773649981475
Lucius Caecilius Metellus Denter,1,-1.0484337896419436,-1.0484337896419436
